Team,Cod,Role,Name,Rating,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
Atalanta,4730,A,Lookman,7,1,0,0,0,0,0,0,0,0
Atalanta,507,A,Muriel,6.5,0,0,0,0,0,0,0,0,1
Atalanta,2137,A,Scamacca,0,0,0,0,0,0,0,0,0,0
Atalanta,6229,A,Toure' E.,0,0,0,0,0,0,0,0,0,0
Atalanta,608,A,Zapata D.,0,0,0,0,0,0,0,0,0,0
Atalanta,4870,C,Adopo,6*,0,0,0,0,0,0,0,0,0
Atalanta,5995,C,De Ketelaere,7,0,0,0,0,0,0,0,0,1
Atalanta,22,C,De Roon,6,0,0,0,0,0,0,0,0,0
Atalanta,5792,C,Ederson D.s.,6,0,0,0,0,0,0,0,0,0
Atalanta,5685,C,Koopmeiners,6,0,0,0,0,0,0,0,0,0
Atalanta,6588,C,Mendicino,0,0,0,0,0,0,0,0,0,0
Atalanta,5001,C,Miranchuk,0,0,0,0,0,0,0,0,0,0
Atalanta,2077,C,Pasalic,7,1,0,0,0,0,0,0,0,0
Atalanta,5067,D,Bakker,0,0,0,0,0,0,0,0,0,0
Atalanta,6444,D,Bonfanti,0,0,0,0,0,0,0,0,0,0
Atalanta,787,D,Djimsiti,6,0,0,0,0,0,0,1,0,0
Atalanta,2130,D,Hateboer,0,0,0,0,0,0,0,0,0,0
Atalanta,6046,D,Hien,0,0,0,0,0,0,0,0,0,0
Atalanta,5678,D,Holm,6,0,0,0,0,0,0,0,0,0
Atalanta,2640,D,Kolasinac,6,0,0,0,0,0,0,0,0,0
Atalanta,2181,D,Palomino,0,0,0,0,0,0,0,0,0,0
Atalanta,5354,D,Ruggeri,6,0,0,0,0,0,0,0,0,0
Atalanta,5526,D,Scalvini,6.5,0,0,0,0,0,0,0,0,0
Atalanta,695,D,Toloi,6*,0,0,0,0,0,0,0,0,0
Atalanta,554,D,Zappacosta,6.5,0,0,0,0,0,0,0,0,0
Atalanta,4433,D,Zortea,0,0,0,0,0,0,0,0,0,0
Atalanta,4431,P,Carnesecchi,0,0,0,0,0,0,0,0,0,0
Atalanta,2792,P,Musso,6,0,0,0,0,0,0,0,0,0
Atalanta,2297,P,Rossi F.,0,0,0,0,0,0,0,0,0,0
Bologna,6572,A,Castro S.,0,0,0,0,0,0,0,0,0,0
Bologna,6459,A,Karlsson,5.5,0,0,0,0,0,0,0,0,0
Bologna,2765,A,Odgaard,0,0,0,0,0,0,0,0,0,0
Bologna,5446,A,Van Hooijdonk,0,0,0,0,0,0,0,0,0,0
Bologna,5086,A,Zirkzee,6.5,0,0,0,0,0,0,0,0,0
Bologna,5784,C,Aebischer,6.5,0,0,0,0,0,0,1,0,0
Bologna,4869,C,Dominguez,0,0,0,0,0,0,0,0,0,0
Bologna,6225,C,El Azzouzi,6*,0,0,0,0,0,0,0,0,0
Bologna,6206,C,Fabbian,0,0,0,0,0,0,0,0,0,0
Bologna,5858,C,Ferguson,6,0,0,0,0,0,0,0,0,0
Bologna,788,C,Freuler,6,0,0,0,0,0,0,1,0,0
Bologna,6054,C,Moro N.,0,0,0,0,0,0,0,0,0,0
Bologna,5564,C,Ndoye,6.5,0,0,0,0,0,0,1,0,0
Bologna,2167,C,Orsolini,6*,0,0,0,0,0,0,0,0,0
