Team,Cod,Role,Name,Rating,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
Atalanta,4431,P,Carnesecchi,6,0,0,0,0,0,0,0,0,0
Atalanta,554,D,Zappacosta,5.5,0,0,0,0,0,0,0,0,0
Atalanta,695,D,Toloi,6,0,0,0,0,0,0,0,0,0
Atalanta,697,D,Cuadrado,6,0,0,0,0,0,0,1,0,0
Atalanta,787,D,Djimsiti,6.5,0,0,0,0,0,0,0,0,0
Atalanta,4887,D,Bellanova,7,0,0,0,0,0,0,0,0,1
Atalanta,5354,D,Ruggeri,6.5,0,0,0,0,0,0,0,0,0
Atalanta,5578,D,Kossounou,6.5,0,0,0,0,0,0,0,0,0
Atalanta,6046,D,Hien,6.5,0,0,0,0,0,0,0,0,0
Atalanta,22,C,De Roon,6.5,0,0,0,0,0,0,0,0,0
Atalanta,2077,C,Pasalic,5.5,0,0,0,0,0,0,0,0,0
Atalanta,5792,C,Ederson D.s.,7,1,0,0,0,0,0,0,0,0
Atalanta,6024,C,Sulemana I.,6*,0,0,0,0,0,0,0,0,0
Atalanta,4730,A,Lookman,6.5,0,0,0,0,0,0,0,0,0
Atalanta,5995,A,De Ketelaere,6*,0,0,0,0,0,0,0,0,0
Atalanta,6228,A,Retegui,5.5,0,0,0,0,0,0,0,0,0
Bologna,2722,P,Ravaglia F.,6,0,0,0,0,0,0,0,0,0
Bologna,4734,D,Miranda J.,6.5,0,0,0,0,0,0,0,0,0
Bologna,5678,D,Holm,5.5,0,0,0,0,0,0,0,0,0
Bologna,6042,D,Lucumi',6.5,0,0,0,0,0,0,0,0,0
Bologna,6202,D,Beukema,6.5,0,0,0,0,0,0,0,0,0
Bologna,788,C,Freuler,6,0,0,0,0,0,0,0,0,0
Bologna,2167,C,Orsolini,7.5,1,0,0,0,0,0,1,0,0
Bologna,5564,C,Ndoye,6.5,0,0,0,0,0,0,1,0,0
Bologna,5784,C,Aebischer,6,0,0,0,0,0,0,0,0,0
Bologna,6054,C,Moro N.,6*,0,0,0,0,0,0,0,0,0
Bologna,6206,C,Fabbian,6*,0,0,0,0,0,0,0,0,0
Bologna,2765,A,Odgaard,5.5,0,0,0,0,0,0,0,0,0
Bologna,4436,A,Cambiaghi,6.5,0,0,0,0,0,0,0,0,0
Bologna,6572,A,Castro S.,6,0,0,0,0,0,0,1,0,0
Bologna,6643,A,Dallinga,6,0,0,0,0,0,0,0,0,0
Bologna,6895,A,Dominguez B.,5.5,0,0,0,0,0,0,0,0,0
Cagliari,4360,P,Caprile,6,0,2,0,0,0,0,0,0,0
Cagliari,393,D,Luperto,6.5,0,0,0,0,0,0,0,0,0
Cagliari,2181,D,Palomino,6,0,0,0,0,0,0,1,0,0
Cagliari,4210,D,Mina,6,0,0,0,0,0,0,0,0,0
Cagliari,4421,D,Augello,5.5,0,0,0,0,0,0,0,0,0
Cagliari,4433,D,Zortea,5.5,0,0,0,0,0,0,0,0,0
Cagliari,4461,D,Zappa,6,0,0,0,0,0,0,0,0,0
Cagliari,440,C,Viola,5.5,0,0,0,0,0,0,0,0,0
Cagliari,4364,C,Gaetano,6,0,0,0,0,0,0,0,0,0
Cagliari,4870,C,Adopo,6,0,0,0,0,0,0,0,0,0
Cagliari,4965,C,Marin,6.5,0,0,0,0,0,0,0,0,0
Cagliari,6232,C,Makoumbou,6,0,0,0,0,0,0,0,0,0
Cagliari,6424,C,Prati,5.5,0,0,0,0,0,0,0,0,0
Cagliari,4359,A,Piccoli,7,1,0,0,0,0,0,1,0,0
Cagliari,5297,A,Luvumbo,6,0,0,0,0,0,0,0,0,0
Cagliari,7016,A,Coman F.,6,0,0,0,0,0,0,0,0,0
Como,6966,P,Butez,7,0,0,0,0,0,0,0,0,0
Como,418,D,Goldaniga,6.5,1,0,0,0,0,0,1,0,0
Como,4994,D,Vojvoda,6,0,0,0,0,0,0,0,0,0
Como,5435,D,Moreno Alb.,6,0,0,0,0,0,0,0,0,0
Como,6867,D,Valle,6,0,0,0,0,0,0,1,0,0
Como,6893,D,Kempf,6,0,0,0,0,0,0,0,0,0
Como,4486,C,Strefezza,7,0,0,0,0,0,0,0,0,1
Como,4658,C,Ikone',6.5,0,0,0,0,0,0,1,0,0
Como,5036,C,Caqueret,6*,0,0,0,0,0,0,0,0,0
Como,5559,C,Da Cunha,7,0,0,0,0,0,0,0,0,1
Como,6151,C,Perrone,6,0,0,0,0,0,0,1,0,0
Como,6676,C,Engelhardt,6*,0,0,0,0,0,0,0,0,0
Como,6875,C,Paz N.,7,0,0,0,0,0,0,0,0,1
Como,6967,C,Diao,8,2,0,0,0,0,0,0,0,0
Como,6657,A,Gabrielloni,6*,0,0,0,0,0,0,0,0,0
Como,7017,A,Douvikas,5.5,0,0,0,0,0,0,0,0,0
Empoli,6125,P,Vasquez D.,5,0,2,0,0,0,0,0,0,0
Empoli,5480,D,Ebuehi,6,0,0,0,0,0,0,0,0,0
Empoli,5718,D,Viti,5.5,0,0,0,0,0,0,0,0,0
Empoli,5804,D,Cacace,6,0,0,0,0,0,0,1,0,0
Empoli,6537,D,Goglichidze,6,0,0,0,0,0,0,0,0,0
Empoli,6809,D,Marianucci,6,0,0,0,0,0,0,0,0,0
Empoli,27,C,Grassi,6,0,0,0,0,0,0,1,0,0
Empoli,4498,C,Henderson L.,6.5,0,0,0,0,0,0,0,0,1
Empoli,4992,C,Gyasi,6,0,0,0,0,0,0,0,0,0
Empoli,6010,C,Fazzini,7,1,0,0,0,0,0,0,0,0
Empoli,6889,C,Anjorin,7,1,0,0,0,0,0,0,0,0
Empoli,4463,A,Esposito Se.,6,0,0,0,0,0,0,0,0,0
Empoli,4923,A,Colombo,5.5,0,0,0,0,0,0,0,0,0
Empoli,6119,A,Solbakken,5.5,0,0,0,0,0,0,0,0,0
Fiorentina,2521,P,De Gea,6,0,1,0,0,0,0,0,0,0
Fiorentina,2160,D,Gosens,7,1,0,0,0,0,0,0,0,0
Fiorentina,4378,D,Ranieri L.,6,0,0,0,0,0,0,0,0,0
Fiorentina,4904,D,Mari',6,0,0,0,0,0,0,0,0,0
Fiorentina,5449,D,Parisi,6,0,0,0,0,0,0,1,0,0
Fiorentina,5603,D,Pongracic,6,0,0,0,0,0,0,0,0,0
Fiorentina,5885,D,Dodo',6.5,0,0,0,0,0,0,0,0,1
Fiorentina,6495,D,Comuzzo,6*,0,0,0,0,0,0,0,0,0
Fiorentina,333,C,Cataldi,6.5,0,0,0,0,0,0,0,0,0
Fiorentina,1933,C,Mandragora,6.5,0,0,0,0,0,0,0,0,1
