Team,Cod,Role,Name,Rating,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
Atalanta,4431,P,Carnesecchi,7,0,1,0,0,0,0,0,0,0
Atalanta,554,D,Zappacosta,5,0,0,0,0,0,0,0,0,0
Atalanta,787,D,Djimsiti,6,0,0,0,0,0,0,0,0,0
Atalanta,2640,D,Kolasinac,6,0,0,0,0,0,0,1,0,0
Atalanta,4887,D,Bellanova,6.5,0,0,0,0,0,0,0,0,1
Atalanta,5354,D,Ruggeri,6,0,0,0,0,0,0,0,0,0
Atalanta,5526,D,Scalvini,6,0,0,0,0,0,0,0,0,0
Atalanta,6046,D,Hien,6*,0,0,0,0,0,0,0,0,0
Atalanta,22,C,De Roon,5.5,0,0,0,0,0,0,0,0,0
Atalanta,2077,C,Pasalic,5.5,0,0,0,0,0,0,0,0,0
Atalanta,2766,C,Zaniolo,6*,0,0,0,0,0,0,0,0,0
Atalanta,5119,C,Samardzic,6.5,0,0,0,0,0,0,0,0,0
Atalanta,5792,C,Ederson D.s.,6.5,0,0,0,0,0,0,0,0,0
Atalanta,4730,A,Lookman,6,0,0,0,0,0,0,0,0,0
Atalanta,5995,A,De Ketelaere,6,0,0,0,0,0,0,0,0,0
Atalanta,6228,A,Retegui,7,1,0,0,0,0,0,0,0,0
Bologna,133,P,Skorupski,6,0,2,0,0,0,0,0,0,0
Bologna,487,D,De Silvestri,6,0,0,0,0,0,0,0,0,0
Bologna,2653,D,Lykogiannis,5,0,0,0,0,0,0,0,0,0
Bologna,4982,D,Erlic,6*,0,0,0,0,0,0,0,0,0
Bologna,5498,D,Casale,5.5,0,0,0,0,0,0,0,0,0
Bologna,5678,D,Holm,6.5,1,0,0,0,0,0,0,0,0
Bologna,6202,D,Beukema,5.5,0,0,0,0,0,0,0,0,0
Bologna,788,C,Freuler,6,0,0,0,0,0,0,0,0,0
Bologna,2167,C,Orsolini,6.5,0,0,0,0,0,0,0,0,1
Bologna,5298,C,Pobega,6,0,0,0,0,0,0,0,0,0
Bologna,5564,C,Ndoye,6,0,0,0,0,0,0,0,0,0
Bologna,5858,C,Ferguson,6,0,0,0,0,0,0,0,0,0
Bologna,6054,C,Moro N.,6.5,0,0,0,0,0,0,0,0,0
Bologna,2765,A,Odgaard,6,0,0,0,0,0,0,0,0,0
Bologna,6572,A,Castro S.,7,1,0,0,0,0,0,0,0,0
Bologna,6643,A,Dallinga,6*,0,0,0,0,0,0,0,0,0
Cagliari,574,P,Scuffet,6.5,0,1,0,0,0,0,0,0,0
Cagliari,393,D,Luperto,6.5,0,0,0,0,0,0,0,0,0
Cagliari,2181,D,Palomino,6,0,0,0,0,0,0,0,0,0
Cagliari,4210,D,Mina,6.5,0,0,0,0,0,0,1,0,0
Cagliari,4421,D,Augello,6,0,0,0,0,0,0,0,0,0
Cagliari,4433,D,Zortea,7,1,0,0,0,0,0,0,0,0
Cagliari,4461,D,Zappa,6,0,0,0,0,0,0,0,0,0
Cagliari,5701,D,Obert,6.5,0,0,0,0,0,0,0,0,1
Cagliari,440,C,Viola,6.5,0,0,0,0,0,0,0,0,0
Cagliari,4870,C,Adopo,6,0,0,0,0,0,0,0,0,0
Cagliari,4965,C,Marin,6*,0,0,0,0,0,0,0,0,0
Cagliari,6232,C,Makoumbou,5.5,0,0,0,0,0,0,0,0,0
Cagliari,6640,C,Felici,6.5,0,0,0,0,0,0,0,0,1
Cagliari,247,A,Pavoletti,6*,0,0,0,0,0,0,0,0,0
Cagliari,1939,A,Lapadula,6,0,0,0,0,0,0,0,0,0
Cagliari,4359,A,Piccoli,7,1,0,0,0,0,0,1,0,0
Como,6966,P,Butez,6.5,0,2,0,0,0,0,0,0,0
Como,418,D,Goldaniga,5.5,0,0,0,0,0,0,0,0,0
Como,6230,D,Dossena,5.5,0,0,0,0,0,0,0,0,0
Como,6893,D,Kempf,6,0,0,0,0,0,0,1,0,0
Como,6896,D,Van Der Brempt,5.5,0,0,0,0,0,0,0,0,0
Como,376,C,Verdi,6*,0,0,0,0,0,0,0,0,0
